Municipality;Percentage of Smart Meters;Consumption per Contract
Abrantes;0.0594829558453443148;471.48137
Aguiar da Beira;0.20850708924103419516;231.01199
Alandroal;0.12357120790855730615;541.94629
Albergaria-a-Velha;0.04465282429113641438;1156.78326
Albufeira;0.00796574728666733048;657.0012
Alcanena;0.09175514484205007209;659.84676
Alcobaça;0.03620968191187120495;559.15464
Alcochete;0.02610738839091462884;592.33008
Alcoutim;0.14609203798392987582;210.37222
Alcácer do Sal;0.0496093265533920377;830.14988
Alenquer;0.04518752824220515138;825.90878
Alfândega da Fé;0.29985007496251874063;194.39444
Alijó;0.20322252866889243722;285.00027
Aljezur;0.07797270955165692008;371.13365
Aljustrel;0.07089684509039347749;2315.93123
Almada;0.00442293913151167214;340.92728
Almeida;0.23816612086930634117;176.03334
Almeirim;0.03180408682515703268;537.65528
Almodôvar;0.1115241635687732342;293.50861
Alpiarça;0.02252252252252252252;905.17002
Alter do Chão;0.14435221941537351137;291.07662
Alvaiázere;0.08785802143735723072;214.52794
Alvito;0.1211387038158691702;918.86684
Amadora;0.00619911559284208786;389.05606
Amarante;0.10620481189493893223;376.05191
Amares;0.15114301908180615908;329.95563
Anadia;0.06811061163329246697;675.30632
Ansião;0.0683682771194165907;332.64443
Arcos de Valdevez;0.20246330352623586975;418.91063
Arganil;0.18893387314439946019;533.42191
Armamar;0.28214429665457476824;326.63607
Arouca;0.16525511258004544516;419.96819
Arraiolos;0.12553351744915892543;505.17426
Arronches;0.1584786053882725832;421.94549
Arruda dos Vinhos;0.05337603416066186282;398.28748
Aveiro;0.01983575990796207403;1253.88797
Avis;0.19966722129783693844;1323.70449
Azambuja;0.05851864236749707407;1045.13483
Baião;0.12716868017076937052;237.73335
Barcelos;0.12307816472297324563;667.91552
Barrancos;0.08368200836820083682;308.96731
Barreiro;0.00821018062397372742;314.96154
Batalha;0.04178418468609631255;681.80076
Beja;0.0536193029490616622;2027.97694
Belmonte;0.08233841086867023466;220.38849
Benavente;0.02400096003840153606;737.90472
Bombarral;0.04603521694095983427;368.73217
Borba;0.12949174490126254451;520.32332
Boticas;0.24044241404183698004;321.17832
Braga;0.03790362235699065727;583.48073
Bragança;0.14549524342473419138;359.75622
Cabeceiras de Basto;0.12850717498393660313;270.4567
Cadaval;0.08282063416942735447;349.23303
Caldas da Rainha;0.03310162197947699437;405.92362
Caminha;0.08918901700961967255;221.685
Campo Maior;0.0588581518540317834;883.99535
Cantanhede;0.06481181426785796954;782.98412
Carrazeda de Ansiães;0.25617566331198536139;174.52464
Carregal do Sal;0.0710025560920193127;312.2781
Cartaxo;0.04304778303917348257;582.19989
Cascais;0.00329247915449135313;407.38556
Castanheira de Pêra;0.03985651654045436429;305.97784
Castelo Branco;0.04992642421694345176;427.34348
Castelo de Paiva;0.07658922644881286699;436.45974
Castelo de Vide;0.14089468122578372666;426.95954
Castro daire;0.15216357584403233476;235.50544
Castro Marim;0.05443658138268916712;608.73713
Castro Verde;0.08269588587967748605;310.74866
