Municipality;Percentage of Smart Meters;Consumption per Contract
Abrantes;88.61452378056197542878;417.80097
Aguiar da Beira;99.37836717778698715292;229.57594
Alandroal;80.74332751309553504615;437.58546
Albergaria-a-Velha;96.68993307908181621933;1118.49296
Albufeira;94.16430701145761059126;618.66062
Alcanena;95.25533774503683356224;628.53926
Alcobaça;93.66309253606741279904;523.72153
Alcochete;99.9304287329332985477;591.91799
Alcoutim;76.16133518776077885953;160.22229
Alcácer do Sal;99.01756109541937860739;821.99417
Alenquer;99.5013284283670549765;821.79021
Alfândega da Fé;98.42597147073290703394;191.33462
Alijó;77.17038198722975243643;219.9358
Aljezur;79.72027972027972027972;295.86879
Aljustrel;96.18138424821002386635;2227.49472
Almada;98.13107638888888888889;334.55561
Almeida;98.56220657276995305164;173.50234
Almeirim;91.09807330146313197161;489.7936
Almodôvar;97.85376500545652964714;287.20922
Alpiarça;98.66666666666666666667;893.10109
Alter do Chão;98.85836603638958259008;287.75359
Alvaiázere;99.28471737613398464759;212.99346
Alvito;99.7583081570996978852;916.64601
Amadora;98.81872479452754096687;384.46023
Amarante;78.44965711722104723451;295.01144
Amares;95.18072289156626506024;314.05415
Anadia;87.02507260980380534645;587.68582
Ansião;99.47857628655633643165;330.90994
Arcos de Valdevez;95.22304932255127724522;398.89947
Arganil;67.77025791110298152552;361.5014
Armamar;99.04191616766467065868;323.50662
Arouca;78.4793709978114614574;329.58839
Arraiolos;84.38559322033898305085;426.2943
Arronches;85.00224517287831163;358.66314
Arruda dos Vinhos;99.52191235059760956175;396.38332
Aveiro;99.71320635297375343658;1250.2919
Avis;99.53627028817489234846;1317.56608
Azambuja;99.33565852848364059126;1038.19156
Baião;94.00563572709418495432;223.48274
Barcelos;88.7095042061929479148;592.50455
Barrancos;98.19227608874281018899;303.38203
Barreiro;99.62782708273690237618;313.78933
Batalha;99.92693110647181628392;681.30257
Beja;99.59946595460614152203;2019.8542
Belmonte;97.86462530217566478646;215.68237
Benavente;97.0081490104772991851;715.82771
Bombarral;99.43923094529640650034;366.66443
Borba;73.98802395209580838323;384.97694
Boticas;88.22655918540517607128;283.36458
Braga;93.28389587553992584381;544.29356
Bragança;91.03722320336910745823;327.51208
Cabeceiras de Basto;89.25635633722041674632;241.39979
Cadaval;88.4748246624097142259;308.98331
Caldas da Rainha;99.54964850615114235501;404.09554
Caminha;98.25978090766823161189;217.82719
Campo Maior;98.3976833976833976834;869.83095
Cantanhede;90.41480055250931313047;707.93353
Carrazeda de Ansiães;99.39978173881411422335;173.47711
Carregal do Sal;97.49411601827495500485;304.45278
Cartaxo;96.64401608653446123977;562.66136
Cascais;96.20376456055050956978;391.92025
Castanheira de Pêra;97.32350659425911559348;297.78837
Castelo Branco;88.12523156724712856614;376.59743
Castelo de Paiva;99.11437246963562753036;432.59433
Castelo de Vide;97.99792889195719710045;418.41151
Castro daire;85.1141330743079164643;200.44842
Castro Marim;80.72950999780268072951;491.43051
Castro Verde;98.71428571428571428571;306.75332
Celorico da Beira;99.32599046523097156009;209.88386
Celorico de Basto;86.95451183431952662722;305.27203
Chamusca;97.2148978246539222149;871.85784
Chaves;93.27534512866132911601;291.67421
Cinfães;65.35850306342109620798;201.19295
Coimbra;99.74201593051629061905;575.11267
Condeixa-a-Nova;99.71821827246125501246;414.53896
Constância;99.49152542372881355932;2836.1294
Coruche;98.61210601719197707736;728.86275
Covilhã;94.88416716047292530828;467.16553
Crato;98.83758475944462382951;240.29161
Cuba;99.37827225130890052356;538.68435
Elvas;92.39532019704433497537;466.69393
Entroncamento;99.66943481415786503265;464.24386
Espinho;99.3092194723959749796;358.15649
Esposende;99.86332929829356866727;351.21475
Estarreja;98.96157106527267589715;3862.06716
Estremoz;90.25483976812862299027;416.59651
Fafe;89.64972623894426505686;366.35826
Faro;95.78266722574095734116;476.89668
Felgueiras;81.14195722238499853501;476.20465
Ferreira do Alentejo;99.27422518634758728913;1260.53036
Ferreira do Zêzere;98.03287174841464992882;441.82764
Figueira da Foz;84.50641518597968187153;1999.65979
Figueira de Castelo Rodrigo;98.7211780662662274753;191.88445
Figueiró dos Vinhos;98.04458349628470864294;215.24582
Fornos de Algodres;99.31749241658240647118;210.66778
Freixo de Espada À Cinta;97.33606557377049180328;179.59125
Fronteira;99.63724304715840386941;317.65135
